foot,position,sub_position,height_in_cm,year,transfer_fee,from_club_id,to_club_id,market_value_in_eur_x,goals,assists,yellow_cards,red_cards,minutes_played,continent_of_birth_Asia,continent_of_birth_Europe,continent_of_birth_North America,continent_of_birth_Oceania,continent_of_birth_South America,continent_of_birth_Unknown
1.0,1,1.0,182.0,2025,0.0,6418,1030,1200000.0,0.0,0.0,0.0,0.0,900.0,0,0,0,0,1,0
0.0,4,2.0,184.0,2025,0.0,49702,1029,800000.0,1.0,0.0,1.0,0.0,79.0,0,0,0,0,1,0
1.0,4,1.0,182.0,2025,0.0,63007,53646,800000.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0
1.0,3,2.0,177.0,2025,0.0,85465,48726,800000.0,0.0,0.0,0.0,0.0,29.0,0,1,0,0,0,0
1.0,4,2.0,188.0,2025,0.0,6418,30120,350000.0,1.0,1.0,1.0,0.0,252.0,0,1,0,0,0,0
1.0,4,3.0,174.0,2025,0.0,85465,48726,3000000.0,0.0,0.0,0.0,0.0,10.0,0,1,0,0,0,0
1.0,4,1.0,184.0,2025,0.0,3592,28292,400000.0,1.0,0.0,0.0,0.0,152.0,0,0,0,0,1,0
1.0,2,3.0,178.0,2025,0.0,60949,3641,250000.0,0.0,1.0,3.0,0.0,704.0,0,1,0,0,0,0
0.0,2,2.0,179.0,2025,0.0,5817,362,50000.0,0.0,0.0,0.0,0.0,196.0,0,1,0,0,0,0
1.0,4,1.0,179.0,2025,2000000.0,294,114,2300000.0,3.0,2.0,1.0,0.0,762.0,0,1,0,0,0,0
1.0,2,2.0,188.0,2025,0.0,86,159,3000000.0,0.0,1.0,1.0,0.0,622.0,0,1,0,0,0,0
0.0,1,1.0,191.0,2025,4700000.0,150,336,6000000.0,0.0,0.0,1.0,0.0,1170.0,0,1,0,0,0,0
1.0,4,2.0,183.0,2025,1000000.0,3948,3057,2500000.0,5.0,2.0,1.0,0.0,744.0,0,1,0,0,0,0
1.0,2,2.0,190.0,2025,25000000.0,826,148,25000000.0,0.0,0.0,1.0,0.0,798.0,0,1,0,0,0,0
1.0,1,1.0,186.0,2025,1600000.0,209,367,6000000.0,0.0,0.0,2.0,0.0,990.0,0,0,0,0,1,0
0.0,2,2.0,193.0,2025,5000000.0,167,114,8000000.0,0.0,0.0,1.0,0.0,1045.0,0,1,0,0,0,0
1.0,2,2.0,190.0,2025,0.0,269,33,2000000.0,0.0,2.0,1.0,0.0,918.0,0,1,0,0,0,0
0.0,4,2.0,196.0,2025,2000000.0,39,3911,4000000.0,6.0,0.0,1.0,0.0,1283.0,0,0,0,0,0,0
1.0,4,2.0,179.0,2025,2700000.0,720,1075,6000000.0,4.0,0.0,1.0,0.0,561.0,0,1,0,0,0,0
0.0,2,1.0,180.0,2025,0.0,11,371,10000000.0,0.0,0.0,0.0,0.0,217.0,0,1,0,0,0,0
1.0,1,1.0,187.0,2025,14300000.0,2919,506,18000000.0,0.0,0.0,0.0,0.0,1560.0,0,1,0,0,0,0
1.0,2,2.0,186.0,2025,0.0,190,18,4500000.0,0.0,0.0,0.0,0.0,61.0,0,1,0,0,0,0
0.0,2,1.0,180.0,2025,0.0,354,1096,3000000.0,1.0,0.0,0.0,0.0,296.0,0,1,0,0,0,0
1.0,4,1.0,175.0,2025,0.0,370,903,1200000.0,0.0,0.0,0.0,0.0,94.0,0,1,0,0,0,0
0.0,2,1.0,184.0,2025,8000000.0,162,141,7000000.0,0.0,0.0,1.0,0.0,427.0,0,1,0,0,0,0
0.0,1,1.0,196.0,2025,1000000.0,3385,1091,700000.0,0.0,0.0,1.0,0.0,810.0,0,1,0,0,0,0
1.0,3,2.0,184.0,2025,3500000.0,506,607,8000000.0,1.0,0.0,3.0,0.0,1072.0,0,1,0,0,0,0
0.0,2,2.0,189.0,2025,17200000.0,762,506,18000000.0,0.0,0.0,1.0,0.0,952.0,0,1,0,0,0,0
0.0,2,2.0,186.0,2025,12000000.0,3911,273,10000000.0,1.0,0.0,1.0,0.0,847.0,0,1,0,0,0,0
0.0,4,3.0,180.0,2025,28100000.0,430,506,28000000.0,0.0,2.0,0.0,0.0,1301.0,0,0,0,0,1,0
1.0,2,3.0,187.0,2025,5000000.0,409,1047,4000000.0,0.0,0.0,0.0,0.0,242.0,0,1,0,0,0,0
1.0,3,2.0,180.0,2025,20000000.0,964,537,20000000.0,0.0,0.0,0.0,1.0,254.0,0,0,0,0,1,0
1.0,2,3.0,187.0,2025,1750000.0,58,475,2000000.0,0.0,2.0,2.0,0.0,520.0,0,0,0,0,0,1
1.0,3,2.0,186.0,2025,3430000.0,7775,398,8000000.0,1.0,1.0,0.0,0.0,572.0,0,0,0,0,0,0
0.0,4,1.0,182.0,2025,0.0,3999,16704,450000.0,3.0,0.0,2.0,1.0,449.0,0,0,0,0,1,0
1.0,2,2.0,193.0,2025,5000000.0,162,167,17000000.0,1.0,0.0,2.0,0.0,1245.0,0,1,0,0,0,0
1.0,3,2.0,185.0,2025,18000000.0,18,12,35000000.0,0.0,2.0,3.0,0.0,1272.0,0,1,0,0,0,0
1.0,2,3.0,168.0,2025,25000000.0,281,16,20000000.0,0.0,0.0,2.0,0.0,443.0,0,0,0,0,1,0
1.0,4,2.0,170.0,2025,15000000.0,3948,82,32000000.0,5.0,3.0,2.0,0.0,1107.0,0,0,0,0,0,0
1.0,3,2.0,190.0,2025,0.0,6945,465,450000.0,2.0,0.0,3.0,0.0,1178.0,0,0,1,0,0,0
0.0,3,2.0,176.0,2025,0.0,533,27,25000000.0,4.0,2.0,2.0,0.0,1283.0,0,1,0,0,0,0
1.0,3,2.0,191.0,2025,16000000.0,2727,23826,10000000.0,1.0,1.0,3.0,0.0,646.0,0,1,0,0,0,0
1.0,2,2.0,193.0,2025,11000000.0,447,148,12000000.0,1.0,1.0,2.0,1.0,720.0,0,1,0,0,0,0
1.0,2,2.0,190.0,2025,500000.0,5619,306,3000000.0,1.0,0.0,0.0,0.0,1094.0,0,1,0,0,0,0
0.0,4,3.0,174.0,2025,7000000.0,180,667,2000000.0,1.0,0.0,0.0,0.0,119.0,0,1,0,0,0,0
0.0,2,2.0,185.0,2025,7000000.0,10484,405,6000000.0,0.0,0.0,1.0,0.0,744.0,1,0,0,0,0,0
1.0,4,2.0,185.0,2025,134000.0,3166,1063,200000.0,1.0,0.0,0.0,0.0,262.0,0,1,0,0,0,0
1.0,1,1.0,186.0,2025,0.0,10484,968,200000.0,0.0,0.0,0.0,0.0,90.0,1,0,0,0,0,0
0.0,2,1.0,186.0,2025,0.0,1244,449,1000000.0,0.0,0.0,0.0,0.0,30.0,0,1,0,0,0,0
